GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, Shoot, GetBattleInfo, RotateRight45
GetBattleInfo, GetBattleInfo, GetBattleInfo (killed), Shoot
GetBattleInfo, GetBattleInfo, killed, GetBattleInfo
GetBattleInfo, GetBattleInfo, killed, MoveForward
GetBattleInfo, GetBattleInfo, killed, MoveForward
Shoot, Shoot, killed, GetBattleInfo
GetBattleInfo, GetBattleInfo, killed, MoveForward
GetBattleInfo, GetBattleInfo, killed, MoveForward
GetBattleInfo, GetBattleInfo, killed, GetBattleInfo
RotateLeft90, GetBattleInfo, killed, RotateLeft45
RotateLeft90, Shoot, killed, Shoot
GetBattleInfo, GetBattleInfo, killed, GetBattleInfo
Shoot, GetBattleInfo, killed, GetBattleInfo
GetBattleInfo, GetBattleInfo (killed), killed, GetBattleInfo
Player 1 won with 2 tanks still alive
