GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft90, GetBattleInfo, GetBattleInfo
MoveForward, GetBattleInfo, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo
MoveForward, GetBattleInfo, GetBattleInfo
MoveForward, GetBattleInfo, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo
MoveForward, GetBattleInfo, GetBattleInfo
MoveForward, GetBattleInfo, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight45, GetBattleInfo, GetBattleInfo
MoveForward, GetBattleInfo, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo
MoveForward, GetBattleInfo, GetBattleInfo
RotateRight45, GetBattleInfo, GetBattleInfo
GetBattleInfo (killed), GetBattleInfo, Shoot
Player 2 won with 2 tanks still alive
