GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, Shoot, GetBattleInfo, RotateRight45
GetBattleInfo, GetBattleInfo, GetBattleInfo (killed), Shoot
RotateLeft90, RotateLeft90, killed, GetBattleInfo
MoveForward, MoveForward, killed, MoveForward
GetBattleInfo, GetBattleInfo, killed, MoveForward
MoveForward, GetBattleInfo, killed, MoveForward
RotateRight45, GetBattleInfo, killed, GetBattleInfo
MoveForward, GetBattleInfo, killed, RotateLeft90
GetBattleInfo, GetBattleInfo, killed, MoveForward
RotateRight90, GetBattleInfo, killed, RotateRight90
Shoot, GetBattleInfo, killed, GetBattleInfo (killed)
GetBattleInfo, GetBattleInfo, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed
Shoot, GetBattleInfo, killed, killed
GetBattleInfo, GetBattleInfo (killed), killed, killed
Player 1 won with 1 tanks still alive
