GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft90, RotateLeft90, GetBattleInfo, GetBattleInfo
MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
MoveForward, RotateRight45, GetBattleInfo, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
MoveForward, RotateLeft90, GetBattleInfo, GetBattleInfo
MoveForward, RotateLeft45, GetBattleInfo, GetBattleInfo
MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight45, MoveForward, GetBattleInfo, GetBattleInfo
MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight45 (killed), MoveForward, GetBattleInfo, Shoot
killed, RotateRight45, GetBattleInfo, GetBattleInfo
killed, Shoot, GetBattleInfo (killed), GetBattleInfo
killed, GetBattleInfo, killed, GetBattleInfo
killed, MoveForward, killed, GetBattleInfo
killed, RotateRight45, killed, GetBattleInfo
killed, GetBattleInfo, killed, GetBattleInfo
killed, GetBattleInfo, killed, GetBattleInfo
killed, Shoot, killed, GetBattleInfo
Player 1 won with 1 tanks still alive
